source_file,company_name,assessment_year,assessment_month,rating_action_basis,num_positive_drivers,num_negative_drivers,num_specific_ratings,extraction_timestamp
Mydin_Rationale_final (Dec 2016).pdf,Mydin Mohamed Holdings Berhad,2016,Not mentioned in the document,"The company's financial performance and debt levels have deteriorated significantly, leading to a do...",1,3,2,2025-07-15T21:35:39.875039
Mydin_Rationale (Dec 2019).pdf,Mydin Mohamed Holdings Berhad,2019,Not mentioned in the document,The company's financial performance and creditworthiness,1,3,0,2025-07-15T21:36:18.164676
Bank Muamalat (April 2010 Rationale).pdf,Bank Muamalat Malaysia Berhad,2010,Not mentioned in the document,RAM Ratings' current opinion on the overall capacity of a financial institution to meet its financia...,1,1,2,2025-07-15T21:36:59.658687
Bank Muamalat_ June 2019.pdf,Bank Muamalat Malaysia Berhad,2019,Not mentioned in the document,"The rating action basis is not explicitly stated, but it can be inferred that the rating was based o...",1,3,2,2025-07-15T21:37:40.202153
Mydin Rationale_Dec 2014.pdf,Mydin Mohamed Holdings Berhad,2014,Not mentioned in the document,The company's financial performance and debt levels,1,3,0,2025-07-15T21:38:17.974372
AEON_Rationale (Apr 2018).pdf,AEON CO. (M) BHD.,2018,Not mentioned in the document,Not mentioned in the document,2,2,0,2025-07-15T21:38:58.912988
Bank Muamalat rationale (May 2016).pdf,Bank Muamalat Malaysia Berhad,2016,Not mentioned in the document,The rating is based on the bank's financial performance and other relevant factors.,2,2,2,2025-07-15T21:39:38.773488
AEON_Rationale (final).pdf,AEON CO. BHD.,2019,Not mentioned in the document,Not mentioned in the document,2,2,2,2025-07-15T21:40:19.891975
Mydin (Jan 2013).pdf,Mydin Mohamed Holdings Berhad,Not mentioned in the document,Not mentioned in the document,Not mentioned in the document,2,2,0,2025-07-15T21:40:55.591790
Sample Report 5.pdf,Hong Leong Investment Bank Berhad,2023,August,The affirmation of Hong Leong Investment Bank Berhad’s (HLIB or the Bank) financial institution rati...,3,2,1,2025-07-15T21:41:35.182266
Sample Report 4.pdf,Hong Leong Investment Bank Berhad,2024,May,RAM Ratings has assigned an AA1/Stable rating to the proposed Tranche 3 issuance from Hong Leong Inv...,3,1,1,2025-07-15T21:42:22.214108
Mydin Rationale (Dec 2017).pdf,Mydin Mohamed Holdings Berhad,2017,Not mentioned in the document,The company's financial performance and debt profile.,2,2,0,2025-07-15T21:42:59.870229
Sample Report 1.pdf,Country Garden Holdings Company Limited,2024,Not mentioned in the document,Not mentioned in the document,1,0,0,2025-07-15T21:43:36.032638
Sample Report 3.pdf,Country Garden Real Estate Sdn Bhd,2025,Not mentioned in the document,The company's financial performance and creditworthiness,1,2,0,2025-07-15T21:44:10.756155
Bank Muamalat rationale (June 2012).pdf,Bank Muamalat Malaysia Berhad,2012,Not mentioned in the document,Not mentioned in the document,2,1,2,2025-07-15T21:44:51.599721
Sample Report 2.pdf,Country Garden Holdings Company Limited,2022,Not mentioned in the document,The receipt of this compensation has no influence on RAM Ratings’ credit opinions or other analytica...,2,1,0,2025-07-15T21:45:27.095888
Mydin - Dec 2018 (Final).pdf,Mydin Mohamed Holdings Berhad,2018,Not mentioned in the document,The company's financial performance and debt levels,2,2,0,2025-07-15T21:46:05.201268
Mydin_Rationale_Dec2015.pdf,Mydin Mohamed Holdings Berhad,2015,Not mentioned in the document,The company's financial performance and debt levels,1,3,0,2025-07-15T21:46:42.956563
Bank Muamalat (March 2009).pdf,Bank Muamalat Malaysia Berhad,2009,Not mentioned in the document,Not mentioned in the document,1,1,2,2025-07-15T21:48:09.097943
AEON (M) Rationale (2020) - Final.pdf,AEON CO (M) BHD,2020,Not mentioned in the document,Not mentioned in the document,1,2,0,2025-07-15T21:48:46.208480
Mydin - Rationale (final rating)_Nov 2011.pdf,Mydin Mohamed Holdings Bhd,2011,Not mentioned in the document,Not mentioned in the document,1,1,2,2025-07-15T21:49:27.962102
Bank Muamalat_Rationale_Aug 2013 (final).pdf,Bank Muamalat Malaysia Berhad,2013,Not mentioned in the document,Not mentioned in the document,2,2,2,2025-07-15T21:50:11.528291
Bank Muamalat rationale (July 2014).pdf,Bank Muamalat Malaysia Berhad,2014,Not mentioned in the document,Not mentioned in the document,2,2,2,2025-07-15T21:50:55.918494
AEON_Rationale (Apr 2017).pdf,AEON CO. BHD.,2017,Not mentioned in the document,The company's financial performance and debt profile,2,2,2,2025-07-15T21:51:34.695194
Bank Muamalat rationale 2018_final.pdf,Bank Muamalat Malaysia Berhad,2018,Not mentioned in the document,The rating is based on the bank's financial performance and other relevant factors.,2,2,2,2025-07-15T21:52:14.457778
Bank Muamalat rationale (July 2015).pdf,Bank Muamalat Malaysia Berhad,2015,Not mentioned in the document,The rating is based on the bank's financial performance and other relevant factors.,2,2,2,2025-07-15T21:52:53.929580
Mydin Rationale (Jan 2014).pdf,Mydin Mohamed Holdings Berhad,2014,Not mentioned in the document,Not mentioned in the document,1,2,0,2025-07-15T21:53:27.457856
